51300031515,cdb,34,118
51300038444,acg,283,269
51300050849,acg,208,231
51300138125,ebf,8,235
51300138982,gdg,117,96
51300156848,caf,9,164
51300169626,ceb,296,245
51300238090,cga,18,175
51300267666,gee,74,219
51300281463,bag,113,98
51300342463,aff,235,58
51300352778,cbg,53,257
51300385928,fbc,204,118
51300394410,bag,219,108
51300397133,aac,237,281
51300447526,ccb,62,167
51300448078,eaa,136,210
51300451701,ecc,187,66
51300459394,ega,269,165
51300512982,agd,236,139
51300534917,gdc,86,22
51300535745,gdc,116,23
51300548391,gbc,120,39
51300548718,dgb,3,266
51300583279,dgf,247,228
51300601653,cfe,88,222
51300638923,gdb,176,211
51300639752,dca,149,186
51300713890,cda,196,28
51300728690,gfd,126,138
51300798518,ffe,76,29
51300827678,eeb,268,230
51300836043,cbd,102,11
51300911516,fgc,38,179
51300926970,ceg,82,216
51300930822,aec,267,5
51301054839,bbf,85,219
51301075041,cee,55,171
51301100150,aag,184,290
51301130032,aff,245,68
51301152835,edc,106,251
51301201052,gde,167,170
51301229131,dgg,154,128
51301239443,cfg,219,60
51301280416,bdd,6,24
51301282285,cgf,295,255
51301315383,agd,106,123
51301321691,eff,59,152
51301330374,ffc,124,141
51301345385,egd,208,123
51301383453,geg,200,208
51301426483,bed,91,170
51301426857,acf,32,287
51301432145,abf,154,255
51301432767,abc,157,297
51301450906,bfd,178,192
51301464721,bbe,128,117
51301492682,acd,285,147
51301510703,cdf,115,52
51301569224,cde,138,227
51301600351,dcc,289,126
51301614619,bfa,156,262
51301621530,cad,103,204
51301659653,bga,151,295
51301660331,ggb,250,32
51301667473,daa,25,238
51301668875,efe,105,239
51301678513,dce,55,283
51301694182,ggd,186,263
51301694645,cfb,42,250
51301698035,fce,80,128
51301724184,dea,112,118
51301734644,egg,270,118
51301762325,gfg,17,136
51301766304,ead,88,98
51301790112,cfa,233,34
51301794908,ged,171,82
51301861846,dfc,62,38
51301865524,agc,75,132
51301867751,aga,216,129
51301881509,beg,96,9
51301890564,dfb,236,227
51301905718,cae,265,298
51301959880,bdf,298,52
51301970396,abg,273,220
51301970528,cdd,47,105
51301982484,gdc,248,24
51302004201,dcd,105,270
51302034506,age,114,134
51302057401,cbb,229,281
51302069731,beg,84,7
51302079637,eca,169,171
51302104649,bcb,37,97
51302119353,fgd,95,125
51302164474,cgd,85,142
51302165615,dga,140,152
51302175157,efg,146,52
51302211068,dba,220,185
51302229538,edf,46,25
51302338096,ddb,90,239
51302340257,bef,172,126
51302359390,egb,16,296
51302371150,ddf,41,287
51302389022,gfc,168,183
51302396334,gbd,223,250
51302456731,dcg,262,87
51302473194,fgc,65,196
51302491114,ega,178,161
51302492481,cef,51,17
51302554185,dba,47,168
51302557067,bfb,278,6
51302561129,eaa,115,245
51302568273,ebf,288,260
51302619294,gag,261,17
51302631350,fca,102,97
51302634179,bga,284,295
51302639722,efb,216,38
51302667389,agc,40,134
51302683716,ada,154,289
51302690712,efa,52,40
51302707561,bfb,132,5
51302719885,ada,19,286
51302728970,fbf,126,236
51302745259,gea,171,93
51302746305,cgc,36,271
51302748169,eab,121,259
51302759504,faf,38,13
51302796779,eeg,113,279
51302814010,ded,32,39
51302821735,aff,276,72
51302832887,caa,277,299
51302871343,gba,121,54
51302882399,cgb,57,19
51302938753,eed,39,86
51302986444,ccd,97,39
51302999864,gef,115,136
51303006274,ggb,103,33
51303045895,abg,226,239
51303048220,fgd,205,135
51303093279,ggc,245,201
51303110678,ged,73,89
51303153090,fgb,280,23
51303164352,gee,184,243
51303196535,efa,97,36
51303203858,dff,66,89
51303205731,fef,146,280
